episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,ddpg_llm,142.86014415033128,7.981418181818182,1715.024224479227,10.511540234100364,0.6,0.3,0.1
2,ddpg_llm,132.1068939939824,8.23459393939394,1765.8068108752052,10.065720190301938,0.61,0.29,0.1
3,ddpg_llm,125.0011484415327,8.053830303030303,1732.553913420743,10.476312242926554,0.618,0.282,0.1
4,ddpg_llm,136.6755977510247,8.204436363636363,1755.6757504062155,10.504204989467443,0.6204,0.2776,0.102
5,ddpg_llm,137.6610075932961,8.7908,1869.3103027251761,9.399916785228474,0.6233,0.2751,0.1016
6,ddpg_llm,139.4769426003477,7.983006060606061,1730.5326170772798,10.693251992147507,0.6266,0.2721,0.1013
7,ddpg_llm,138.36163347486197,8.978218181818182,1912.1755692990516,8.905686981018516,0.6313,0.2677,0.101
8,ddpg_llm,136.11308535047817,8.356048484848484,1763.542983891282,10.156394764521748,0.633,0.2662,0.1008
9,ddpg_llm,130.56752856024508,7.815393939393939,1710.17412918222,10.691877666192532,0.6364,0.263,0.1006
10,ddpg_llm,142.52427346459123,8.378836363636363,1800.8733259637886,9.789164379971078,0.6391,0.2604,0.1005
11,ddpg_llm,144.26169913211868,7.750339393939394,1690.7246679822988,10.844426970267651,0.6413,0.2583,0.1004
12,ddpg_llm,125.66164548325992,7.953636363636363,1725.9120419073365,10.738026001334351,0.643,0.2566,0.1004
13,ddpg_llm,136.5461955178251,7.839527272727272,1700.4179616063805,10.752760841182582,0.6444,0.2553,0.1003
14,ddpg_llm,143.09735568666954,8.033212121212122,1731.4933690084965,10.589748139288549,0.6455,0.2542,0.1003
15,ddpg_llm,138.33828154989848,7.678024242424243,1682.350411893048,11.01513131963168,0.6504,0.2494,0.1002
16,ddpg_llm,135.91720044804453,8.46540606060606,1815.061550203582,9.598092577012618,0.6503,0.2495,0.1002
17,ddpg_llm,143.99270596067987,8.692921212121211,1863.7216462320366,9.159972179461402,0.6562,0.2436,0.1002
18,ddpg_llm,149.95254128011234,7.9402060606060605,1713.1632670810209,10.56966597396497,0.655,0.2449,0.1001
19,ddpg_llm,144.2880334477298,7.9640121212121215,1729.195164928892,10.324735241738022,0.656,0.2479,0.0961
20,ddpg_llm,136.72071483339786,8.07899393939394,1763.337193727035,10.39344908765444,0.6548,0.2483,0.0969
21,ddpg_llm,148.48146486428857,8.217478787878788,1770.4513896540338,10.084455283204598,0.6598,0.2446,0.0956
22,ddpg_llm,153.15140455400143,8.954363636363635,1890.5901789539075,8.877805781193798,0.6698,0.2417,0.0885
23,ddpg_llm,154.7938909938728,7.898327272727273,1694.2813723551235,10.613128819165578,0.6738,0.2434,0.0828
24,ddpg_llm,129.84875455901116,8.081224242424241,1737.3628868040978,10.046639197568604,0.685,0.2367,0.0783
25,ddpg_llm,165.31024868675567,7.874836363636364,1708.2453604683492,10.345150815168934,0.692,0.2334,0.0746
