episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,a2c,137.9647450113903,9.295681818181817,1841.4385679108254,8.683884142960421,0.6,0.3,0.1
2,a2c,134.49241380305938,9.18070707070707,1815.4368392788501,8.97582086800012,0.6,0.3,0.1
3,a2c,132.0160201207555,8.43588383838384,1709.9340871192217,9.720288401293278,0.6,0.3,0.1
4,a2c,117.95938477816452,8.90915404040404,1817.0674563678729,9.192773006079456,0.6,0.3,0.1
5,a2c,131.70693435502395,9.351578282828282,1863.307888140754,8.599494445230254,0.6,0.3,0.1
6,a2c,126.68378994199836,9.278042929292928,1841.7255447015684,8.853540558922324,0.6,0.3,0.1
7,a2c,136.35179508679977,10.264431818181817,1988.7455648082132,7.628155048638902,0.6,0.3,0.1
8,a2c,158.92750124971795,11.371401515151515,2163.229548893327,6.872673316572614,0.6,0.3,0.1
9,a2c,157.15053323523736,10.993421717171717,2096.3836714651306,7.2631567363056355,0.6,0.3,0.1
10,a2c,149.56714250340346,10.608042929292928,2026.0960184479738,7.543735480686059,0.6,0.3,0.1
11,a2c,156.66430003533668,10.449141414141414,2004.5644858641017,7.6753282211808145,0.6,0.3,0.1
12,a2c,145.69120075497506,11.093964646464647,2120.0555957173815,7.173445785545943,0.6,0.3,0.1
13,a2c,150.26020574738135,10.337979797979798,1986.5786338800162,7.773382554515311,0.6,0.3,0.1
14,a2c,150.74697153758206,10.914292929292928,2085.3070313043772,7.309073945417396,0.6,0.3,0.1
15,a2c,158.45599793578356,10.385757575757575,1995.8599699934953,7.691955593721452,0.6,0.3,0.1
16,a2c,155.83300902430582,11.238156565656565,2145.448843544257,7.046992390350184,0.6,0.3,0.1
17,a2c,155.99101965728224,11.13044191919192,2133.4869709841714,7.045746434055297,0.6,0.3,0.1
18,a2c,151.8686512319388,10.531161616161615,2018.3631823338442,7.551641537998487,0.6,0.3,0.1
19,a2c,156.92648897160305,11.135492424242424,2127.034339049691,7.104399405498126,0.6,0.3,0.1
20,a2c,135.3000142395488,10.261401515151514,1990.5228052104073,8.001353718550671,0.6,0.3,0.1
21,a2c,153.94630502156429,10.563472222222222,2030.8105485367462,7.606187645080732,0.6,0.3,0.1
22,a2c,154.28627911466387,11.05915404040404,2118.9708189081107,7.183071257252743,0.6,0.3,0.1
23,a2c,160.27411406916445,10.72354797979798,2048.8578117619513,7.415337331985271,0.6,0.3,0.1
24,a2c,159.69508194417256,11.224621212121214,2146.046883584174,7.033910285494529,0.6,0.3,0.1
25,a2c,151.93043336943038,10.635694444444445,2030.2122005811148,7.519304018965339,0.6,0.3,0.1
