episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,baseline,112.43649521570649,11.803163636363637,2574.807501607821,7.525659348892172,0.6,0.3,0.1
2,baseline,100.75144469551412,11.309151515151516,2506.889624446165,7.856040667444457,0.6,0.3,0.1
3,baseline,103.06084795880724,11.400012121212121,2525.1825349830524,7.836471345563873,0.6,0.3,0.1
4,baseline,102.24798126432559,11.183042424242423,2496.865923734433,7.94934984061523,0.6,0.3,0.1
5,baseline,100.8939459941772,11.231975757575757,2497.6083298752756,7.988711181971988,0.6,0.3,0.1
6,baseline,107.45930520027134,11.555006060606061,2555.3011647058684,7.747488560874447,0.6,0.3,0.1
7,baseline,115.13443579932168,11.808606060606062,2584.735150050397,7.470058711334584,0.6,0.3,0.1
8,baseline,114.80359408879895,11.703987878787878,2564.719908798772,7.492689367099955,0.6,0.3,0.1
9,baseline,105.55309583467186,11.286557575757577,2501.3629431252234,7.712133746660771,0.6,0.3,0.1
10,baseline,101.16569417453717,11.11349090909091,2485.24893076719,7.934045982118086,0.6,0.3,0.1
11,baseline,101.76633377951029,11.311721212121212,2512.3253493019292,7.994755211978595,0.6,0.3,0.1
12,baseline,111.24636627211616,11.754824242424244,2576.4975141621876,7.4872586831852646,0.6,0.3,0.1
13,baseline,103.33142916822963,11.200848484848485,2489.1948902267036,7.888203593955438,0.6,0.3,0.1
14,baseline,106.24080419170853,11.338690909090907,2527.151896235563,7.766182940986195,0.6,0.3,0.1
15,baseline,102.27134084930644,11.540472727272725,2543.681427237695,7.851567456140181,0.6,0.3,0.1
16,baseline,107.40754329690755,11.527175757575757,2542.700322583645,7.646935719662578,0.6,0.3,0.1
17,baseline,113.06118364629268,11.658921212121212,2563.3013290478875,7.5151103617708435,0.6,0.3,0.1
18,baseline,108.57211902496353,11.504545454545456,2540.7482334474225,7.721366512931248,0.6,0.3,0.1
19,baseline,120.11172203558603,12.004642424242425,2604.082925182099,7.304448932369731,0.6,0.3,0.1
20,baseline,108.33497173540866,11.8308,2597.1009768116237,7.664391273683465,0.6,0.3,0.1
21,baseline,111.26084832034421,11.638012121212121,2561.9236929384037,7.568706224333966,0.6,0.3,0.1
22,baseline,115.15301698153205,11.839466666666667,2592.024873888987,7.428407016229653,0.6,0.3,0.1
23,baseline,102.89549058769572,11.37619393939394,2510.5783362928955,7.863262669535271,0.6,0.3,0.1
24,baseline,111.6081624271946,11.831309090909091,2589.6874210777187,7.535013671919443,0.6,0.3,0.1
25,baseline,113.13064545545406,11.984496969696968,2603.3131019377015,7.518788283992566,0.6,0.3,0.1
